id,headline,text_raw,text_normalized,sentiment,sentiment_numerical
15276,,"nein, sie sind nicht im parlament vertreten. die faschisten haben eine ordentlich abfuhr bei der rada wahl erhalten. dass es faschisten in der ukraine gibt, ist richtig. in der regierung jedenfalls nicht. und in der rada detto. 

die mistkübel story ist ein bissi ausgelutscht, der abgeordnete selbst hat sie entkräftet und die aktion einem gegner in seinem wahlkreis angelastet.

was erzählen sie da also?

dass es faschisten in der ukraine gibt ist richtig, dass sie massiv auftreten auch und dass das so rasch als möglich geändert gehört ebenso. aber die ukraine ist nicht faschistisch regiert und diese russische schmarrnbehauptung muss einmal aufhören - ein ganzes volk zu verunglimpfen ist doch nicht normal.","nein , sie sind nicht im parlament vertreten . die faschisten haben eine ordentlich abfuhr bei der rada wahl erhalten . dass es faschisten in der ukraine gibt , ist richtig . in der regierung jedenfalls nicht . und in der rada detto . die mistkübel story ist ein bissi ausgelutscht , der abgeordnete selbst hat sie entkräftet und die aktion einem gegner in seinem wahlkreis angelastet . was erzählen sie da also ? dass es faschisten in der ukraine gibt ist richtig , dass sie massiv auftreten auch und dass das so rasch als möglich geändert gehört ebenso . aber die ukraine ist nicht faschistisch regiert und diese russische schmarrnbehauptung muss einmal aufhören - ein ganzes volk zu verunglimpfen ist doch nicht normal .",SentimentNegative,0
15871,,"Dann haben Sie mein Kommentar absolut richtig verstanden.
Mit dieser Führungsriege und mit dieser ""Strategie"" ist die SPÖ dem Untergang geweiht.
Ich bin für einen totalen Neustart, mit integeren Entscheidungsträgern. Einem inhaltlichen moralisch-eghischen Linksruck (auch wenn jetzt gleich wieder von Extremismus gebashed wird). Damit die Partei wieder glaubhaft und damit wählbar wird. Mit Inhalten für die sich ein Wähler entscheiden kann.","dann haben sie mein kommentar absolut richtig verstanden . mit dieser führungsriege und mit dieser  strategie  ist die spö dem untergang geweiht . ich bin für einen totalen neustart , mit integeren entscheidungsträgern . einem inhaltlichen moralisch-eghischen linksruck ( auch wenn jetzt gleich wieder von extremismus gebashed wird ) . damit die partei wieder glaubhaft und damit wählbar wird . mit inhalten für die sich ein wähler entscheiden kann .",SentimentNeutral,1
16439,,http://derstandard.at/2000015977712/HCB-Funk-Kommission-fand-grobe-Maengel-in-Arbeit-der-Behoerden,URL,SentimentNeutral,1
18077,,"Natürlich trifft eine hohe Mehrwertsteuer in erster Linie Geringverdiener, geht gar nicht anders.

Abgesehen davon ist sie in Österreich ohnehin schon enorm hoch, inbesondere auf Lebensmittel.","natürlich trifft eine hohe mehrwertsteuer in erster linie geringverdiener , geht gar nicht anders . abgesehen davon ist sie in österreich ohnehin schon enorm hoch , inbesondere auf lebensmittel .",SentimentNeutral,1
18390,so ein psycho,so ein psycho None,so ein psycho none,SentimentNegative,0
18754,,"Dass Schäuble am Wenigsten versteht ist eine reine Vermutung, Unterstellung.
Schäuble hat eine Ideologie? Selbst in der CDU ist diese These sehr umstritten.

Politker sind im übrigen beliebig austauschbar. Aktuell von der Leyen - von Familie zur Verteidigung. Ab der 3. Reihe wirds fachlich interessant. 

Wie viele GR-FM´s sind Ökonomen, inkl. V.? Und wo steht GR heute?","dass schäuble am wenigsten versteht ist eine reine vermutung , unterstellung . schäuble hat eine ideologie ? selbst in der cdu ist diese these sehr umstritten . politker sind im übrigen beliebig austauschbar . aktuell von der leyen - von familie zur verteidigung . ab der 3 . reihe wirds fachlich interessant . wie viele gr-fm´s sind ökonomen , inkl . v . ? und wo steht gr heute ?",SentimentNeutral,1
18881,,leider hat keine Band so schwer abgebaut wie Manowar seit der Triumph. Mittlerweile könntens schon zusammen mitn Gabalier auftreten :(,leider hat keine band so schwer abgebaut wie manowar seit der triumph . mittlerweile könntens schon zusammen mitn gabalier auftreten EMOTICON,SentimentNegative,0
19412,in Gladbeck (D) ruft der per Lautsprecher 3 mal am Tag !!,in Gladbeck (D) ruft der per Lautsprecher 3 mal am Tag !! None,in gladbeck ( d ) ruft der per lautsprecher 3 mal am tag ! none,SentimentNegative,0
20492,,"Wenn man den Treibhausgasausstoß pro Kopf betrachtet sind Länder wie China, Indien und Brasilien noch weit von Frankreich und Italien entfernt.","wenn man den treibhausgasausstoß pro kopf betrachtet sind länder wie china , indien und brasilien noch weit von frankreich und italien entfernt .",SentimentNeutral,1
21065,,"meine Frau hat einmal Basenpulver für´s Badewasser heimgeschleppt .. für die zarte Haut und so; als ich das einmal ausprobiert habe, hat es mich  ziemlich hergequ(w)ant(d)elt und ich habe viel zu spät am dem Etikett der Dose bemerkt, dass das Pulver da ""lichtquantenaktiviert"" ist .. nie wieder Quanten, ich muss da wirklich davor warnen 

(aber vielleicht war auch nur das Badewasser in bisserl zu warm...)","meine frau hat einmal basenpulver für´s badewasser heimgeschleppt . für die zarte haut und so ; als ich das einmal ausprobiert habe , hat es mich ziemlich hergequ ( w ) ant ( d ) elt und ich habe viel zu spät am dem etikett der dose bemerkt , dass das pulver da  lichtquantenaktiviert  ist . nie wieder quanten , ich muss da wirklich davor warnen ( aber vielleicht war auch nur das badewasser in bisserl zu warm . )",SentimentNeutral,1
21116,Also das wäre ja wirklich ein Musterbeispiel,"Also das wäre ja wirklich ein Musterbeispiel !Verdachtsdiagnose! - weil ich die beschriebene Person bis dato nicht kenne:
kommt eine mittellose Afrikanerin aus Kamerun nach Österreich, lässt sich von der Wohnung über medizinische versorgung bis zur Ausbildung der Kinder alles vom Staat brennen, und wenn es nach 15-20 Jahren zur Zahlungsverpflichtung kommt, kehrt sie Österreich den Rücken, weil: "" woanders mehr weitergeht"" natürlich ohne vergleichbare Sozialleistungen für einheimische oder zuwandernde Sozialfälle.
Sollte irgendetwas von meiner VD stimmen möchte ich von ""diversity management"" lieber nix mehr hören und sehen","also das wäre ja wirklich ein musterbeispiel ! verdachtsdiagnose ! - weil ich die beschriebene person bis dato nicht kenne : kommt eine mittellose afrikanerin aus kamerun nach österreich , lässt sich von der wohnung über medizinische versorgung bis zur ausbildung der kinder alles vom staat brennen , und wenn es nach 15-20 jahren zur zahlungsverpflichtung kommt , kehrt sie österreich den rücken , weil :  woanders mehr weitergeht  natürlich ohne vergleichbare sozialleistungen für einheimische oder zuwandernde sozialfälle . sollte irgendetwas von meiner vd stimmen möchte ich von  diversity management  lieber nix mehr hören und sehen",SentimentNegative,0
22078,,"finde ich nicht. ich finde ihr verhalten vielmehr respektabel weil sie zu ihrer meinung steht.
ich finde ja, dass es in österreich wirklich höchste zeit für eine linkspartei ist, damit endlich die einen in ruhe arbeiten und die anderen ihre utopien wälzen können. beides ist wichtig, wie auch die fpö als korrektiv wichtig ist.","finde ich nicht . ich finde ihr verhalten vielmehr respektabel weil sie zu ihrer meinung steht . ich finde ja , dass es in österreich wirklich höchste zeit für eine linkspartei ist , damit endlich die einen in ruhe arbeiten und die anderen ihre utopien wälzen können . beides ist wichtig , wie auch die fpö als korrektiv wichtig ist .",SentimentNeutral,1
23038,,"Ja, der sollte sich mal den Film Der Untergang reinziehen. :)","ja , der sollte sich mal den film der untergang reinziehen . EMOTICON",SentimentNegative,0
23271,Dürfen ....,"Dürfen .... tut er immer.
Aber welche Relevanz hat dieses Posting. Alles Annahmen ....",dürfen . tut er immer . aber welche relevanz hat dieses posting . alles annahmen .,SentimentNeutral,1
24053,"Nein, Selektion in der Evolutionstheorie bedeutet was anderes, ...","Nein, Selektion in der Evolutionstheorie bedeutet was anderes, ... ... naemlich nichts anderes als dass weniger ueberlebensfaehige Individuen einer Population sich mit geringerer Wahrscheinlichkeit erfolgreich fortpflanzen, nicht mehr und nicht weniger.

Wenn eine neu entstandene Art eine andere ökologische Nische oder andere Umweltbedingungen bevorzugt gibt es keinen Grund warum die urspruengliche Art aussterben sollte.

Und ja, man kann das beobachten, wurde u.a. auch hier schon mal berichtet: http://derstandard.at/2000016890180/Raetselhafte-Schleifen-und-Wirbel-auf-dem-Mond?_slide=4 : zwei Populationen derselben Art, nur wenige kilometerweit entfernt, entwickeln sich in relativ kurzer Zeit so weit auseinander dass sie sich untereinander nicht mehr fortpflanzen koennen.","nein , selektion in der evolutionstheorie bedeutet was anderes , . . naemlich nichts anderes als dass weniger ueberlebensfaehige individuen einer population sich mit geringerer wahrscheinlichkeit erfolgreich fortpflanzen , nicht mehr und nicht weniger . wenn eine neu entstandene art eine andere ökologische nische oder andere umweltbedingungen bevorzugt gibt es keinen grund warum die urspruengliche art aussterben sollte . und ja , man kann das beobachten , wurde u . a . auch hier schon mal berichtet : URL : zwei populationen derselben art , nur wenige kilometerweit entfernt , entwickeln sich in relativ kurzer zeit so weit auseinander dass sie sich untereinander nicht mehr fortpflanzen koennen .",SentimentNeutral,1
25320,,"Und weiter geht's mit dem Kasperltheater ...........

http://diepresse.com/home/politik/innenpolitik/kulisse/4751313/Vier-neue-Kopfe-fur-OVP-Wenn-sie-wollen-durfen-sie",und weiter geht ' s mit dem kasperltheater . URL,SentimentNegative,0
26671,,"kein plan, keine idee, kein spiel über die seite. wo ist da das durchgehende spielsystem, vom nachwuchs bis zum a-team?","kein plan , keine idee , kein spiel über die seite . wo ist da das durchgehende spielsystem , vom nachwuchs bis zum a-team ?",SentimentNeutral,1
27821,,"erstens ist die Zahl erfunden, und selbst wenn..., wenn deren kultureller Hintergrund der ""anatolische Islam"" gewesen wäre, dann wärs nix mit Gleichberechtigung zw. Mann und Frau, nix mit Life Ball, Conchita Wurst usw. ums mal so zu formulieren","erstens ist die zahl erfunden , und selbst wenn . , wenn deren kultureller hintergrund der  anatolische islam  gewesen wäre , dann wärs nix mit gleichberechtigung zw . mann und frau , nix mit life ball , conchita wurst usw . ums mal so zu formulieren",SentimentNegative,0
27979,,"Nein, weil die Systeme aufgrund extremer Temperaturen (Kälte/Hitze) nicht richtig funktionieren und dann auch das Auto sperren, auch wenn man nüchtern ist. Da gab es Tests, die das festgestellt haben und deswegen gibt es auch noch keine gesetzlichen Vorschriften diesbezüglich. Unempflindlichere Technik würde dann das ganze Auto so verteuern, dass es sich wohl nur mehr die Wenigsten leisten können und auch hier ist eine 100% Quote nicht zu erwarten. Technik ist nun mal sehr temperaturempflindlich und solange dieses Problem nicht gelöst ist, wird man keine Vorschriften machen können.","nein , weil die systeme aufgrund extremer temperaturen ( kälte / hitze ) nicht richtig funktionieren und dann auch das auto sperren , auch wenn man nüchtern ist . da gab es tests , die das festgestellt haben und deswegen gibt es auch noch keine gesetzlichen vorschriften diesbezüglich . unempflindlichere technik würde dann das ganze auto so verteuern , dass es sich wohl nur mehr die wenigsten leisten können und auch hier ist eine 100 % quote nicht zu erwarten . technik ist nun mal sehr temperaturempflindlich und solange dieses problem nicht gelöst ist , wird man keine vorschriften machen können .",SentimentNeutral,1
28278,Wie oft noch?,"Wie oft noch? Wann kapiert der letzte der roten Gfrieser, das mit der ÖVP kein Land zu machen ist?
Jede Wahl verlieren, aber danach immer mehr und bessere Posten. Die SPÖ medial prügeln als Wirtschaftsdeppen, aber in einer Nacht alleine bei den Bayern mal schnell 18 Miliarden versenken. Danach krank sein, und bei der schwarzen Mafia RAIFFEISEN als  Farina und Finis Feinste Vorstandssprecher (LLI).
Was opfert diese SPÖ noch alles für einige Tage an der Macht?
Also wenn nicht mal bald eine andere Politik kommt, ist der letzte Wähler noch bereit die ""Barbabas"" zu wählen als die ehemals zwei Großparteien.","wie oft noch ? wann kapiert der letzte der roten gfrieser , das mit der övp kein land zu machen ist ? jede wahl verlieren , aber danach immer mehr und bessere posten . die spö medial prügeln als wirtschaftsdeppen , aber in einer nacht alleine bei den bayern mal schnell 18 miliarden versenken . danach krank sein , und bei der schwarzen mafia raiffeisen als farina und finis feinste vorstandssprecher ( lli ) . was opfert diese spö noch alles für einige tage an der macht ? also wenn nicht mal bald eine andere politik kommt , ist der letzte wähler noch bereit die  barbabas  zu wählen als die ehemals zwei großparteien .",SentimentNegative,0
28470,"Der einzige Unterschied ist,","Der einzige Unterschied ist, das keiner, außer vielleicht sie Frau Föderl, von der ÖVP redet, denn die darf alles und es interessiert keinen. Wenn die, die SPÖ über den Tisch ziehen ist das für alle schon ganz normal. So jedenfalls kann die SPÖ ihre Politik nicht umsetzen. Wenn's mit der FPÖ zusammen geht, ist das angeblich nicht ihre Politik und wenn's mit der ÖVP zusammen gehen, lassen sie sich über den Tisch ziehen. Ein unlösbares Dilemma für die SPÖ!","der einzige unterschied ist , das keiner , außer vielleicht sie frau föderl , von der övp redet , denn die darf alles und es interessiert keinen . wenn die , die spö über den tisch ziehen ist das für alle schon ganz normal . so jedenfalls kann die spö ihre politik nicht umsetzen . wenn ' s mit der fpö zusammen geht , ist das angeblich nicht ihre politik und wenn ' s mit der övp zusammen gehen , lassen sie sich über den tisch ziehen . ein unlösbares dilemma für die spö !",SentimentNeutral,1
28480,,"Genau, ich kauf mir ein iPad, schließe ne Maus, Tastatur, externen Bildschirm und Lautsprecher an und schon brauche ich kein Notebook mehr...eine tolle Erfindung...","genau , ich kauf mir ein ipad , schließe ne maus , tastatur , externen bildschirm und lautsprecher an und schon brauche ich kein notebook mehr . eine tolle erfindung .",SentimentNegative,0
31753,letztlich könnens jetzt noch fünfundzwanzig pograscher paragrahen einfürhen,"letztlich könnens jetzt noch fünfundzwanzig pograscher paragrahen einfürhen belanglos, absolut belangos. willkommen in der neuen welt. China sagt wo es lang geht","letztlich könnens jetzt noch fünfundzwanzig pograscher paragrahen einfürhen belanglos , absolut belangos . willkommen in der neuen welt . china sagt wo es lang geht",SentimentNegative,0
35504,"So, jetzt schreibe ich es zum zweiten Mal:","So, jetzt schreibe ich es zum zweiten Mal: Am Bild, welches sie von der Band verwenden, sind die Angaben falsch. 

Sie müssen den Urheber angeben. 

Oder muss man sie per Unterlassungserklärung kontaktieren damit das funktioniert?

Eines können sie: Das Posting, in dem ich sie bereits darauf aufmerksam gemacht habe, einfach unterdrücken. Perfekt!

Bitte gehts noch? Wenn sie nicht verstehen (wollen) wie das Spiel läuft, dann schicken sie gefälligst eine eigenen Fotografen hin. Sie werden sich wundern, was das dann kostet.","so , jetzt schreibe ich es zum zweiten mal : am bild , welches sie von der band verwenden , sind die angaben falsch . sie müssen den urheber angeben . oder muss man sie per unterlassungserklärung kontaktieren damit das funktioniert ? eines können sie : das posting , in dem ich sie bereits darauf aufmerksam gemacht habe , einfach unterdrücken . perfekt ! bitte gehts noch ? wenn sie nicht verstehen ( wollen ) wie das spiel läuft , dann schicken sie gefälligst eine eigenen fotografen hin . sie werden sich wundern , was das dann kostet .",SentimentNegative,0
37941,"Ahhh, jetzt weiß ich, wie Gerhard Schröder sein Haus finanziert bekommen hat. Mit Geld aus Kasachstan. ;-)","Ahhh, jetzt weiß ich, wie Gerhard Schröder sein Haus finanziert bekommen hat. Mit Geld aus Kasachstan. ;-) http://youtu.be/N0uGPhBppTE","ahhh , jetzt weiß ich , wie gerhard schröder sein haus finanziert bekommen hat . mit geld aus kasachstan . EMOTICON URL",SentimentNegative,0
39166,,"1. interessante Frage. Da aber die griechische Situation in den Medien ohnehin auf ein Revolverduell reduziert wird (was ja in einem gewissen Maße auch stimmt), lautet die eigentliche Frage, wo man die Antwort darauf findet ...

2. kommt wohl auf das Paket an, die ersten Monate würden wohl kein Honigschlecken werden, eine genaue Definition von Abgrund und Sturz konnte ich aber noch nicht finden.

3. rechtlicher Graubereich, Parallelwährungen (Essensmarken, Fußballerbildln, Bitcoin) gibt es ja. Es gibt gewiss das Bestreben diese Alternativen zu iliegalisieren, noch sind wir aber nicht soweit. Ich schätz, in den Verträgen ist das auch so schwammig geregelt.

4. Keine, wäre taktisch unklug.

5. Interessiert keine ...","1 . interessante frage . da aber die griechische situation in den medien ohnehin auf ein revolverduell reduziert wird ( was ja in einem gewissen maße auch stimmt ) , lautet die eigentliche frage , wo man die antwort darauf findet . 2 . kommt wohl auf das paket an , die ersten monate würden wohl kein honigschlecken werden , eine genaue definition von abgrund und sturz konnte ich aber noch nicht finden . 3 . rechtlicher graubereich , parallelwährungen ( essensmarken , fußballerbildln , bitcoin ) gibt es ja . es gibt gewiss das bestreben diese alternativen zu iliegalisieren , noch sind wir aber nicht soweit . ich schätz , in den verträgen ist das auch so schwammig geregelt . 4 . keine , wäre taktisch unklug . 5 . interessiert keine .",SentimentNeutral,1
39543,,"da waren schon ein paar schmankerl dabei in der federerpartie. schad, dass er den sitztennis-ballwechsel nicht gewonnen hat;)","da waren schon ein paar schmankerl dabei in der federerpartie . schad , dass er den sitztennis-ballwechsel nicht gewonnen hat ; )",SentimentPositive,2
41284,,mit ca 65 als sich die letzten Zähne verabschiedet haben.,mit ca 65 als sich die letzten zähne verabschiedet haben .,SentimentNeutral,1
42162,auweh,"auweh taktisch sehr unklug von frau fenninger. es sei denn sie pfeift völlig auf die ""öffentliche meinung"" die sich jetzt gegen sie richten wird...",auweh taktisch sehr unklug von frau fenninger . es sei denn sie pfeift völlig auf die  öffentliche meinung  die sich jetzt gegen sie richten wird .,SentimentNeutral,1
42190,,diverse scharlatane reden auch immer von einem ganzheitlichen blick wenn es um gesundheit geht ;-),diverse scharlatane reden auch immer von einem ganzheitlichen blick wenn es um gesundheit geht EMOTICON,SentimentNeutral,1
42194,...,... ...,. .,SentimentNeutral,1
43591,Bitte wie oft wollen sie denn noch sehen dass es so nicht funktioniert,"Bitte wie oft wollen sie denn noch sehen dass es so nicht funktioniert Die große Koalition hat bei jeder aber wirkliche jeder Wahl verloren schon zu Vranitzkys Zeiten - damals war halt noch genug da zum Verlieren. Und jedes mal hat es geheißen: ""Wir müssen uns dem entgegen stellen; neu regieren, man kann die FPÖ bändigen ohne sie regieren zu lassen, bla bla bla"".

Natürlich Vranitzky mit seinen 76 Jahren wird nicht mehr zugeben dass er sich geirrt hat, aber er hat sich geirrt und zwar gewaltig.

Der einzige Moment an dem die FPÖ verloren hat war als sie in die Regierung zu Schüssel kam - (deswegen hasst Strache+ Freunde heute Schüssel wahrscheinlich noch mehr als die SPÖler selber)","bitte wie oft wollen sie denn noch sehen dass es so nicht funktioniert die große koalition hat bei jeder aber wirkliche jeder wahl verloren schon zu vranitzkys zeiten - damals war halt noch genug da zum verlieren . und jedes mal hat es geheißen :  wir müssen uns dem entgegen stellen ; neu regieren , man kann die fpö bändigen ohne sie regieren zu lassen , bla bla bla  . natürlich vranitzky mit seinen 76 jahren wird nicht mehr zugeben dass er sich geirrt hat , aber er hat sich geirrt und zwar gewaltig . der einzige moment an dem die fpö verloren hat war als sie in die regierung zu schüssel kam - ( deswegen hasst strache+ freunde heute schüssel wahrscheinlich noch mehr als die spöler selber )",SentimentNeutral,1
43952,,"Pssst!!! Hör auf ihn zu provozieren, jetzt sagt er sicher gleich ""Steffen Hofmann"". :-D","pssst ! hör auf ihn zu provozieren , jetzt sagt er sicher gleich  steffen hofmann  . EMOTICON",SentimentNegative,0
45331,,Warum hast du eine Plastikflasche auf?,warum hast du eine plastikflasche auf ?,SentimentNeutral,1
47371,Wieso?,"Wieso? Ich betrachte es als linkes Projekt, nicht archaischen Clans, die ihre Frauen aus religiösen Gründen verschleiern und nicht arbeiten gehen lassen, eben genau NICHT bevorzugt Sozialwohnungen zukommen zu lassen.

Denn auch viele Kinder kriegen müssen als Frau, das ist auch kein sozialistisches Ideal.

Wo in der Geschichte der Sozialdemokratie finden Sie Hinweise, dass reaktionäre frauenfeindliche Lebensentwürfe bevorzugt zu behandeln sind?","wieso ? ich betrachte es als linkes projekt , nicht archaischen clans , die ihre frauen aus religiösen gründen verschleiern und nicht arbeiten gehen lassen , eben genau nicht bevorzugt sozialwohnungen zukommen zu lassen . denn auch viele kinder kriegen müssen als frau , das ist auch kein sozialistisches ideal . wo in der geschichte der sozialdemokratie finden sie hinweise , dass reaktionäre frauenfeindliche lebensentwürfe bevorzugt zu behandeln sind ?",SentimentNegative,0
48389,,googeln sie mal nach: c&c nod,googeln sie mal nach : c&c nod,SentimentNeutral,1
48393,,also der Trump plus Stronach (weil: in Austria sans zu blede für mikch) und als Gastredner der Lugner .......... das hätte was ...... wäre dann eine Massenkarambolage,also der trump plus stronach ( weil : in austria sans zu blede für mikch ) und als gastredner der lugner . das hätte was . wäre dann eine massenkarambolage,SentimentNegative,0
50343,lol,lol die werden sich noch wundern,lol die werden sich noch wundern,SentimentNeutral,1
52021,,das ist die de facto Preisabsprache Rewe-Spar bei der Hofer freudig mitmacht,das ist die de facto preisabsprache rewe-spar bei der hofer freudig mitmacht,SentimentNegative,0
52118,Funktionierende Demokratie?,"Funktionierende Demokratie? In einer solchen wuerden Parlament und freie Medien den Machhabern auf die Finger schauen, bevor diese voellig unertraeglich werden. Die Medien scheinen jedoch zu versagen, denn wie ist es sonst erklaerlich, dass wir ueber solche Umtriebe im Dunkeln bleiben? Und nicht nur was die Banken beyrofft, sondern auch sonst. Die Medien als Handlanger derjenigen, die das Volk fuer bloed verkaufen.","funktionierende demokratie ? in einer solchen wuerden parlament und freie medien den machhabern auf die finger schauen , bevor diese voellig unertraeglich werden . die medien scheinen jedoch zu versagen , denn wie ist es sonst erklaerlich , dass wir ueber solche umtriebe im dunkeln bleiben ? und nicht nur was die banken beyrofft , sondern auch sonst . die medien als handlanger derjenigen , die das volk fuer bloed verkaufen .",SentimentNegative,0
54968,,"Nicht jede Vereifachung, erfasst den dahinter liegende Sinn. Sie sollten diese Stilart noch ein wenig ueben (aber bitte nicht hier)","nicht jede vereifachung , erfasst den dahinter liegende sinn . sie sollten diese stilart noch ein wenig ueben ( aber bitte nicht hier )",SentimentNegative,0
56099,"first gallant south carolina nobly made the stand,","first gallant south carolina nobly made the stand, then came alabama and took her by the hand ...

das ist nicht die fahne der konföderation, aber das ist wohl den meisten der beteiligten schwätzer relativ egal ...

mfg","first gallant south carolina nobly made the stand , then came alabama and took her by the hand . das ist nicht die fahne der konföderation , aber das ist wohl den meisten der beteiligten schwätzer relativ egal . mfg",SentimentNeutral,1
59473,,"Sie haben eine Zeile vergessen:
- Ampelpäärchen

hihihihi ...

PS: wer jetzt noch sagt, bei der FPÖ gibt es keine Fanatiker, braucht sich über nix mehr wundern.","sie haben eine zeile vergessen : - ampelpäärchen hihihihi . ps : wer jetzt noch sagt , bei der fpö gibt es keine fanatiker , braucht sich über nix mehr wundern .",SentimentNeutral,1
64450,das wegweisen ist so eine sache.,"das wegweisen ist so eine sache. ich hatte nachbarn, sie wurde rabiat und ging ua mit einem messer auf ihren lebensgefährten los. dann kam eine poizeieinheit in voller kampfmontur. aber nicht sie wurde weggewiesen, sondern er durfte die wohnung nicht mehr betreten (er war mieter und versorger der familie), da sie kinder hatte und sie nunmal die mutter, während er ""nur"" der lebensbegleiter war.
sie nutzte das in folge als druckmittel gegen ihn, sobald ihr etwas nicht passte…

das möchte ich nur erwähnt haben, denn bisher wurde nichts darüber berichtet, weshalb der amokfahrer von zu hause weggewiesen wurde.","das wegweisen ist so eine sache . ich hatte nachbarn , sie wurde rabiat und ging ua mit einem messer auf ihren lebensgefährten los . dann kam eine poizeieinheit in voller kampfmontur . aber nicht sie wurde weggewiesen , sondern er durfte die wohnung nicht mehr betreten ( er war mieter und versorger der familie ) , da sie kinder hatte und sie nunmal die mutter , während er  nur  der lebensbegleiter war . sie nutzte das in folge als druckmittel gegen ihn , sobald ihr etwas nicht passte … das möchte ich nur erwähnt haben , denn bisher wurde nichts darüber berichtet , weshalb der amokfahrer von zu hause weggewiesen wurde .",SentimentNeutral,1
